freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.027e+02,7.359e+00,1.121e+01,4.213e+02
1.6,2.349e+02,3.310e+01,2.319e+01,2.912e+02
3.1,3.198e+01,3.454e+01,2.197e+01,8.850e+01
4.7,3.519e+02,3.648e+01,2.179e+01,4.102e+02
6.3,1.185e+03,3.817e+01,2.239e+01,1.246e+03
7.8,2.116e+03,4.020e+01,5.098e+01,2.207e+03
9.4,2.987e+03,4.741e+01,2.973e+02,3.332e+03
11.0,2.920e+03,5.481e+01,4.203e+02,3.395e+03
12.5,4.142e+03,5.497e+01,4.257e+02,4.623e+03
14.1,4.779e+03,5.529e+01,5.585e+02,5.393e+03
15.7,4.240e+03,4.469e+01,2.864e+02,4.572e+03
17.2,5.091e+03,4.181e+01,9.585e+01,5.229e+03
18.8,6.469e+03,4.342e+01,4.729e+01,6.560e+03
20.3,8.411e+03,4.371e+01,3.553e+01,8.491e+03
21.9,1.078e+04,4.452e+01,3.086e+01,1.085e+04
23.5,1.319e+04,4.066e+01,2.653e+01,1.326e+04
25.0,1.553e+04,4.134e+01,2.569e+01,1.559e+04
26.6,1.830e+04,4.303e+01,2.538e+01,1.837e+04
28.2,2.169e+04,4.823e+01,2.380e+01,2.177e+04
29.7,2.556e+04,7.351e+01,2.326e+01,2.566e+04
31.3,2.984e+04,8.952e+01,2.610e+01,2.995e+04
32.9,3.485e+04,1.019e+02,3.906e+01,3.499e+04
34.4,4.060e+04,1.266e+02,8.246e+01,4.081e+04
36.0,4.652e+04,9.764e+01,1.591e+02,4.678e+04
37.6,5.508e+04,8.838e+01,3.240e+02,5.550e+04
39.1,6.479e+04,1.126e+02,6.803e+02,6.558e+04
40.7,7.729e+04,1.658e+02,1.478e+03,7.894e+04
42.3,9.282e+04,2.339e+02,2.681e+03,9.573e+04
43.8,1.017e+05,2.921e+02,3.156e+03,1.052e+05
45.4,1.138e+05,3.260e+02,2.485e+03,1.166e+05
47.0,1.330e+05,1.903e+02,2.075e+03,1.353e+05
48.5,1.533e+05,7.756e+01,2.618e+03,1.560e+05
50.1,1.674e+05,5.745e+01,2.844e+03,1.703e+05
51.6,1.918e+05,7.191e+01,2.655e+03,1.945e+05
53.2,2.271e+05,1.416e+02,2.316e+03,2.296e+05
54.8,2.905e+05,2.413e+02,2.999e+03,2.937e+05
56.3,3.915e+05,3.238e+02,4.779e+03,3.966e+05
57.9,4.171e+05,3.123e+02,7.385e+03,4.248e+05
59.5,5.679e+05,3.475e+02,2.380e+04,5.921e+05
61.0,9.334e+05,1.174e+03,4.828e+04,9.829e+05
62.6,1.248e+06,2.431e+03,2.890e+04,1.279e+06
64.2,1.453e+06,3.659e+03,1.195e+04,1.468e+06
65.7,1.599e+06,3.339e+03,1.420e+04,1.617e+06
67.3,1.756e+06,1.892e+03,9.863e+03,1.767e+06
68.9,1.895e+06,1.012e+03,5.803e+03,1.901e+06
70.4,1.837e+06,8.167e+02,5.700e+03,1.844e+06
72.0,1.490e+06,6.387e+02,7.817e+03,1.498e+06
73.6,1.103e+06,5.430e+02,9.925e+03,1.114e+06
75.1,8.000e+05,4.756e+02,1.036e+04,8.109e+05
76.7,5.284e+05,3.910e+02,9.504e+03,5.383e+05
78.3,3.370e+05,3.448e+02,8.286e+03,3.456e+05
79.8,2.850e+05,2.778e+02,8.803e+03,2.941e+05
81.4,3.060e+05,2.219e+02,1.093e+04,3.171e+05
83.0,2.923e+05,2.202e+02,1.139e+04,3.039e+05
84.5,2.602e+05,2.045e+02,1.071e+04,2.711e+05
86.1,2.487e+05,1.842e+02,1.001e+04,2.589e+05
87.6,2.472e+05,1.801e+02,9.375e+03,2.567e+05
89.2,2.493e+05,1.945e+02,8.974e+03,2.584e+05
90.8,2.506e+05,2.035e+02,8.833e+03,2.597e+05
92.3,2.369e+05,1.939e+02,8.708e+03,2.458e+05
93.9,1.985e+05,1.770e+02,7.728e+03,2.064e+05
95.5,1.764e+05,1.765e+02,7.146e+03,1.837e+05
97.0,1.543e+05,2.817e+02,6.221e+03,1.608e+05
98.6,1.258e+05,6.297e+02,4.939e+03,1.314e+05
100.2,1.018e+05,1.077e+03,4.927e+03,1.078e+05
101.7,1.087e+05,1.146e+03,6.950e+03,1.168e+05
103.3,1.167e+05,1.003e+03,7.516e+03,1.252e+05
104.9,8.108e+04,6.696e+02,5.501e+03,8.725e+04
106.4,4.877e+04,3.187e+02,4.051e+03,5.314e+04
108.0,3.473e+04,1.545e+02,3.215e+03,3.810e+04
109.6,2.739e+04,9.012e+01,2.341e+03,2.982e+04
111.1,2.947e+04,8.395e+01,2.430e+03,3.199e+04
112.7,3.378e+04,1.056e+02,2.577e+03,3.647e+04
114.3,2.982e+04,1.145e+02,2.487e+03,3.242e+04
115.8,2.270e+04,8.817e+01,2.553e+03,2.535e+04
117.4,1.602e+04,9.523e+01,1.959e+03,1.807e+04
118.9,1.241e+04,1.561e+02,1.938e+03,1.451e+04
120.5,1.004e+04,2.589e+02,3.459e+03,1.376e+04
122.1,1.164e+04,3.254e+02,3.401e+03,1.536e+04
123.6,1.735e+04,3.126e+02,2.591e+03,2.025e+04
125.2,2.334e+04,3.630e+02,2.359e+03,2.606e+04
126.8,2.355e+04,4.479e+02,1.948e+03,2.594e+04
128.3,1.921e+04,4.354e+02,1.662e+03,2.131e+04
129.9,1.708e+04,4.447e+02,1.476e+03,1.900e+04
131.5,1.545e+04,4.827e+02,1.265e+03,1.720e+04
133.0,1.310e+04,4.800e+02,8.290e+02,1.441e+04
134.6,1.120e+04,5.690e+02,4.653e+02,1.223e+04
136.2,9.990e+03,7.374e+02,5.404e+02,1.127e+04
137.7,8.068e+03,8.237e+02,4.326e+02,9.324e+03
139.3,7.007e+03,8.653e+02,3.213e+02,8.193e+03
140.9,5.922e+03,8.427e+02,2.472e+02,7.012e+03
142.4,5.369e+03,9.201e+02,2.551e+02,6.545e+03
144.0,5.410e+03,1.082e+03,2.568e+02,6.748e+03
145.6,5.530e+03,1.241e+03,2.022e+02,6.973e+03
147.1,5.526e+03,1.298e+03,2.801e+02,7.104e+03
148.7,5.503e+03,1.392e+03,4.602e+02,7.355e+03
150.3,5.224e+03,1.498e+03,5.670e+02,7.290e+03
151.8,4.962e+03,1.551e+03,5.464e+02,7.059e+03
153.4,4.644e+03,1.522e+03,4.805e+02,6.647e+03
154.9,4.171e+03,1.322e+03,4.047e+02,5.897e+03
156.5,3.362e+03,1.047e+03,3.313e+02,4.741e+03
158.1,2.653e+03,8.805e+02,3.036e+02,3.837e+03
159.6,2.319e+03,8.941e+02,2.856e+02,3.499e+03
161.2,2.205e+03,1.002e+03,2.497e+02,3.457e+03
162.8,2.202e+03,1.264e+03,2.026e+02,3.669e+03
164.3,2.139e+03,1.523e+03,1.643e+02,3.826e+03
165.9,1.878e+03,1.646e+03,1.423e+02,3.666e+03
167.5,1.615e+03,1.866e+03,1.544e+02,3.636e+03
169.0,1.424e+03,2.102e+03,1.842e+02,3.710e+03
170.6,1.386e+03,2.313e+03,2.148e+02,3.914e+03
172.2,1.388e+03,2.509e+03,2.708e+02,4.167e+03
173.7,1.295e+03,2.665e+03,2.823e+02,4.242e+03
175.3,1.423e+03,2.769e+03,3.305e+02,4.522e+03
176.9,2.069e+03,2.811e+03,4.450e+02,5.324e+03
178.4,3.757e+03,2.878e+03,6.711e+02,7.306e+03
180.0,6.993e+03,2.896e+03,9.771e+02,1.087e+04
181.6,1.058e+04,2.886e+03,1.023e+03,1.449e+04
183.1,1.186e+04,3.104e+03,7.646e+02,1.572e+04
184.7,1.004e+04,3.448e+03,5.076e+02,1.399e+04
186.2,1.118e+04,3.698e+03,4.842e+02,1.536e+04
187.8,1.341e+04,4.025e+03,5.635e+02,1.800e+04
189.4,1.583e+04,4.374e+03,7.271e+02,2.093e+04
190.9,1.729e+04,4.627e+03,8.257e+02,2.274e+04
192.5,1.843e+04,4.838e+03,8.929e+02,2.416e+04
194.1,1.964e+04,5.139e+03,1.137e+03,2.592e+04
195.6,2.023e+04,5.393e+03,1.441e+03,2.706e+04
197.2,2.066e+04,5.149e+03,1.685e+03,2.749e+04
198.8,2.118e+04,4.462e+03,1.796e+03,2.744e+04
