freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.439e+01,1.683e+01,4.396e+02,5.008e+02
1.5,3.348e+01,2.250e+01,2.653e+02,3.213e+02
3.1,1.314e+01,1.502e+01,3.363e+01,6.179e+01
4.6,1.263e+01,1.446e+01,3.240e+02,3.511e+02
6.1,1.293e+01,1.840e+01,1.228e+03,1.259e+03
7.6,1.335e+01,1.983e+01,2.131e+03,2.164e+03
9.2,2.612e+01,2.061e+01,3.247e+03,3.294e+03
10.7,7.470e+01,2.546e+01,4.375e+03,4.475e+03
12.2,7.552e+01,3.071e+01,5.677e+03,5.784e+03
13.8,3.649e+01,3.080e+01,6.019e+03,6.087e+03
15.3,2.492e+01,2.301e+01,5.135e+03,5.182e+03
16.8,3.109e+01,2.074e+01,5.665e+03,5.717e+03
18.3,3.497e+01,2.437e+01,7.409e+03,7.468e+03
19.9,8.439e+01,2.724e+01,9.964e+03,1.008e+04
21.4,1.216e+02,2.681e+01,1.217e+04,1.232e+04
22.9,1.160e+02,2.881e+01,1.445e+04,1.459e+04
24.5,1.500e+02,3.446e+01,1.791e+04,1.809e+04
26.0,2.117e+02,4.148e+01,2.283e+04,2.309e+04
27.5,2.639e+02,5.818e+01,2.703e+04,2.735e+04
29.0,3.168e+02,8.617e+01,3.035e+04,3.076e+04
30.6,4.997e+02,1.019e+02,3.589e+04,3.649e+04
32.1,8.248e+02,8.345e+01,4.348e+04,4.439e+04
33.6,1.153e+03,5.349e+01,5.355e+04,5.476e+04
35.2,1.705e+03,4.128e+01,6.800e+04,6.975e+04
36.7,2.691e+03,6.259e+01,8.615e+04,8.890e+04
38.2,3.303e+03,1.382e+02,9.793e+04,1.014e+05
39.7,3.006e+03,2.228e+02,9.563e+04,9.885e+04
41.3,2.312e+03,2.906e+02,8.552e+04,8.812e+04
42.8,1.655e+03,2.478e+02,8.581e+04,8.771e+04
44.3,1.208e+03,1.768e+02,1.027e+05,1.040e+05
45.9,1.098e+03,1.325e+02,1.303e+05,1.316e+05
47.4,1.267e+03,8.948e+01,1.696e+05,1.709e+05
48.9,1.637e+03,7.676e+01,2.152e+05,2.169e+05
50.4,2.532e+03,2.303e+02,2.778e+05,2.805e+05
52.0,5.895e+03,1.062e+03,4.375e+05,4.444e+05
53.5,1.193e+04,3.237e+03,7.489e+05,7.641e+05
55.0,1.626e+04,6.183e+03,1.134e+06,1.157e+06
56.5,1.566e+04,9.341e+03,1.463e+06,1.488e+06
58.1,2.928e+04,1.128e+04,1.467e+06,1.507e+06
59.6,5.742e+04,1.220e+04,1.262e+06,1.332e+06
61.1,7.725e+04,1.426e+04,1.079e+06,1.170e+06
62.7,8.999e+04,1.767e+04,9.628e+05,1.070e+06
64.2,9.797e+04,2.096e+04,8.511e+05,9.700e+05
65.7,9.995e+04,2.265e+04,7.220e+05,8.446e+05
67.2,9.693e+04,2.248e+04,5.762e+05,6.957e+05
68.8,9.308e+04,2.254e+04,4.543e+05,5.700e+05
70.3,9.113e+04,2.543e+04,3.926e+05,5.092e+05
71.8,9.005e+04,3.388e+04,3.795e+05,5.035e+05
73.4,9.052e+04,4.667e+04,3.796e+05,5.168e+05
74.9,1.093e+05,6.262e+04,3.538e+05,5.257e+05
76.4,1.587e+05,8.093e+04,3.009e+05,5.406e+05
77.9,2.026e+05,9.468e+04,2.256e+05,5.229e+05
79.5,2.070e+05,9.082e+04,1.468e+05,4.446e+05
81.0,1.821e+05,7.196e+04,8.824e+04,3.423e+05
82.5,1.538e+05,5.530e+04,5.789e+04,2.670e+05
84.1,1.347e+05,4.590e+04,4.800e+04,2.286e+05
85.6,1.152e+05,3.796e+04,4.625e+04,1.994e+05
87.1,9.473e+04,3.041e+04,4.401e+04,1.692e+05
88.6,7.835e+04,2.445e+04,4.158e+04,1.444e+05
90.2,6.461e+04,1.979e+04,3.881e+04,1.232e+05
91.7,5.265e+04,1.605e+04,3.607e+04,1.048e+05
93.2,4.158e+04,1.239e+04,3.314e+04,8.711e+04
94.8,3.334e+04,9.222e+03,3.137e+04,7.393e+04
96.3,2.737e+04,6.956e+03,3.013e+04,6.446e+04
97.8,2.272e+04,5.813e+03,2.982e+04,5.835e+04
99.3,1.952e+04,5.091e+03,2.860e+04,5.321e+04
100.9,1.907e+04,4.489e+03,2.664e+04,5.020e+04
102.4,1.988e+04,3.864e+03,2.525e+04,4.900e+04
103.9,2.132e+04,3.041e+03,2.356e+04,4.792e+04
105.5,2.118e+04,2.663e+03,2.174e+04,4.558e+04
107.0,2.037e+04,2.473e+03,2.220e+04,4.504e+04
108.5,2.014e+04,1.402e+03,2.128e+04,4.282e+04
110.0,1.998e+04,1.079e+03,1.951e+04,4.057e+04
111.6,2.146e+04,8.609e+02,1.998e+04,4.231e+04
113.1,2.425e+04,6.313e+02,2.109e+04,4.596e+04
114.6,2.497e+04,4.471e+02,2.200e+04,4.741e+04
116.2,2.354e+04,3.136e+02,2.328e+04,4.713e+04
117.7,2.047e+04,3.395e+02,2.462e+04,4.543e+04
119.2,1.986e+04,7.875e+02,2.540e+04,4.605e+04
120.7,2.160e+04,1.513e+03,2.439e+04,4.750e+04
122.3,2.214e+04,2.001e+03,2.316e+04,4.730e+04
123.8,2.053e+04,2.158e+03,2.225e+04,4.494e+04
125.3,1.848e+04,2.045e+03,2.190e+04,4.242e+04
126.9,1.721e+04,1.847e+03,2.196e+04,4.102e+04
128.4,1.608e+04,1.641e+03,2.221e+04,3.993e+04
129.9,1.484e+04,1.407e+03,2.238e+04,3.863e+04
131.4,1.341e+04,1.184e+03,2.204e+04,3.663e+04
133.0,7.667e+03,7.609e+02,1.290e+04,2.133e+04
134.5,2.000e+03,3.988e+02,3.026e+03,5.425e+03
136.0,1.388e+03,3.599e+02,2.187e+03,3.934e+03
137.6,1.364e+03,3.293e+02,2.244e+03,3.936e+03
139.1,1.206e+03,3.142e+02,2.269e+03,3.789e+03
140.6,1.108e+03,2.988e+02,2.184e+03,3.591e+03
142.1,1.108e+03,3.006e+02,2.365e+03,3.773e+03
143.7,1.171e+03,3.290e+02,2.671e+03,4.171e+03
145.2,1.566e+03,3.640e+02,3.038e+03,4.968e+03
146.7,2.184e+03,3.715e+02,3.306e+03,5.861e+03
148.3,2.907e+03,4.219e+02,3.645e+03,6.974e+03
149.8,3.972e+03,5.276e+02,4.021e+03,8.520e+03
151.3,5.307e+03,7.788e+02,4.452e+03,1.054e+04
152.8,5.744e+03,9.984e+02,4.866e+03,1.161e+04
154.4,5.849e+03,1.303e+03,5.265e+03,1.242e+04
155.9,8.161e+03,1.895e+03,6.440e+03,1.650e+04
157.4,1.003e+04,2.259e+03,7.124e+03,1.941e+04
159.0,1.053e+04,2.359e+03,6.969e+03,1.986e+04
