freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.705e+01,1.720e+01,2.695e+02,3.237e+02
1.6,3.268e+01,2.641e+01,1.684e+02,2.274e+02
3.1,1.601e+01,2.076e+01,3.909e+01,7.586e+01
4.7,2.080e+01,2.032e+01,3.958e+02,4.369e+02
6.3,1.922e+01,2.498e+01,1.365e+03,1.409e+03
7.8,2.066e+01,2.618e+01,2.311e+03,2.357e+03
9.4,2.648e+01,2.821e+01,3.251e+03,3.306e+03
11.0,2.819e+01,3.059e+01,4.386e+03,4.445e+03
12.6,5.756e+01,3.416e+01,6.003e+03,6.095e+03
14.1,1.533e+02,3.434e+01,7.159e+03,7.346e+03
15.7,1.661e+02,2.929e+01,6.989e+03,7.184e+03
17.3,1.159e+02,2.562e+01,6.956e+03,7.097e+03
18.8,2.383e+02,2.568e+01,8.981e+03,9.245e+03
20.4,2.242e+02,2.454e+01,9.812e+03,1.006e+04
22.0,1.063e+02,2.362e+01,1.128e+04,1.141e+04
23.5,1.027e+02,2.180e+01,1.460e+04,1.473e+04
25.1,1.841e+02,2.266e+01,1.842e+04,1.862e+04
26.7,2.042e+02,2.712e+01,2.168e+04,2.191e+04
28.2,1.608e+02,3.477e+01,2.594e+04,2.614e+04
29.8,1.627e+02,2.646e+01,3.149e+04,3.168e+04
31.4,2.070e+02,2.462e+01,3.943e+04,3.967e+04
32.9,3.353e+02,4.389e+01,5.133e+04,5.171e+04
34.5,6.287e+02,9.121e+01,6.628e+04,6.700e+04
36.1,1.199e+03,1.856e+02,8.343e+04,8.482e+04
37.7,2.153e+03,3.362e+02,1.096e+05,1.121e+05
39.2,3.428e+03,4.524e+02,1.411e+05,1.449e+05
40.8,5.304e+03,5.900e+02,1.861e+05,1.920e+05
42.4,8.365e+03,1.141e+03,2.572e+05,2.667e+05
43.9,1.144e+04,2.243e+03,3.026e+05,3.163e+05
45.5,1.193e+04,2.696e+03,2.297e+05,2.443e+05
47.1,1.400e+04,2.019e+03,1.845e+05,2.005e+05
48.6,2.015e+04,2.411e+03,2.351e+05,2.577e+05
50.2,2.215e+04,2.956e+03,2.023e+05,2.274e+05
51.8,2.368e+04,3.292e+03,1.479e+05,1.749e+05
53.3,2.563e+04,3.597e+03,1.086e+05,1.378e+05
54.9,2.763e+04,3.916e+03,8.610e+04,1.176e+05
56.5,2.943e+04,4.014e+03,7.518e+04,1.086e+05
58.0,3.077e+04,3.830e+03,7.095e+04,1.055e+05
59.6,3.356e+04,3.617e+03,8.532e+04,1.225e+05
61.2,3.107e+04,3.308e+03,1.201e+05,1.545e+05
62.8,2.124e+04,3.153e+03,1.708e+05,1.952e+05
64.3,1.926e+04,4.157e+03,2.804e+05,3.038e+05
65.9,1.593e+04,8.112e+03,4.696e+05,4.937e+05
67.5,9.844e+03,1.328e+04,5.890e+05,6.121e+05
69.0,8.478e+03,1.861e+04,6.263e+05,6.534e+05
70.6,2.292e+04,2.519e+04,6.546e+05,7.028e+05
72.2,4.559e+04,3.187e+04,6.453e+05,7.228e+05
73.7,5.936e+04,3.807e+04,6.081e+05,7.056e+05
75.3,6.151e+04,4.366e+04,5.585e+05,6.637e+05
76.9,6.535e+04,4.916e+04,5.207e+05,6.352e+05
78.4,7.699e+04,5.619e+04,4.902e+05,6.234e+05
80.0,8.939e+04,6.254e+04,4.353e+05,5.872e+05
81.6,1.012e+05,6.443e+04,3.526e+05,5.182e+05
83.1,1.127e+05,6.474e+04,2.774e+05,4.549e+05
