freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.037e+02,9.455e+00,2.190e+01,4.350e+02
1.5,2.517e+02,3.373e+01,3.612e+01,3.215e+02
3.1,4.184e+01,3.363e+01,2.881e+01,1.043e+02
4.6,3.049e+02,3.267e+01,2.667e+01,3.643e+02
6.1,1.136e+03,3.820e+01,2.700e+01,1.201e+03
7.6,1.946e+03,3.983e+01,2.853e+01,2.014e+03
9.2,2.853e+03,3.796e+01,3.710e+01,2.928e+03
10.7,3.699e+03,3.704e+01,4.711e+01,3.783e+03
12.2,4.648e+03,3.718e+01,4.805e+01,4.733e+03
13.7,5.482e+03,4.182e+01,4.033e+01,5.564e+03
15.3,5.782e+03,4.378e+01,3.685e+01,5.863e+03
16.8,6.259e+03,4.025e+01,3.703e+01,6.336e+03
18.3,7.310e+03,4.039e+01,3.930e+01,7.390e+03
19.9,9.146e+03,4.192e+01,4.984e+01,9.238e+03
21.4,1.100e+04,4.790e+01,6.503e+01,1.111e+04
22.9,1.300e+04,5.429e+01,6.574e+01,1.312e+04
24.4,1.534e+04,5.934e+01,6.940e+01,1.547e+04
26.0,1.782e+04,7.031e+01,8.658e+01,1.797e+04
27.5,2.051e+04,1.002e+02,1.234e+02,2.073e+04
29.0,2.322e+04,1.507e+02,1.749e+02,2.355e+04
30.6,2.617e+04,1.952e+02,2.602e+02,2.662e+04
32.1,3.030e+04,2.084e+02,4.123e+02,3.092e+04
33.6,3.543e+04,1.956e+02,6.502e+02,3.627e+04
35.1,4.168e+04,1.762e+02,1.063e+03,4.291e+04
36.7,4.925e+04,1.597e+02,1.914e+03,5.133e+04
38.2,5.770e+04,1.566e+02,3.318e+03,6.117e+04
39.7,6.274e+04,1.419e+02,4.535e+03,6.741e+04
41.2,6.820e+04,1.104e+02,4.581e+03,7.289e+04
42.8,7.710e+04,9.841e+01,3.117e+03,8.031e+04
44.3,8.442e+04,1.220e+02,2.771e+03,8.731e+04
45.8,9.300e+04,1.494e+02,2.911e+03,9.606e+04
47.4,1.076e+05,1.741e+02,2.835e+03,1.106e+05
48.9,1.258e+05,2.020e+02,2.677e+03,1.287e+05
50.4,1.456e+05,2.153e+02,2.569e+03,1.483e+05
51.9,1.768e+05,2.235e+02,2.807e+03,1.799e+05
53.5,2.253e+05,2.361e+02,3.624e+03,2.292e+05
55.0,2.366e+05,2.255e+02,4.125e+03,2.410e+05
56.5,2.545e+05,1.994e+02,3.552e+03,2.582e+05
58.0,3.374e+05,2.504e+02,3.979e+03,3.416e+05
59.6,3.959e+05,3.778e+02,1.126e+04,4.075e+05
61.1,4.753e+05,5.810e+02,2.760e+04,5.035e+05
62.6,6.048e+05,7.673e+02,4.899e+04,6.546e+05
64.2,7.716e+05,7.144e+02,6.223e+04,8.345e+05
65.7,9.154e+05,5.227e+02,6.214e+04,9.781e+05
67.2,9.104e+05,4.021e+02,5.380e+04,9.646e+05
68.7,8.966e+05,3.794e+02,4.688e+04,9.439e+05
70.3,9.599e+05,3.862e+02,4.374e+04,1.004e+06
71.8,8.692e+05,3.730e+02,3.747e+04,9.070e+05
73.3,6.369e+05,3.595e+02,3.140e+04,6.686e+05
74.9,4.747e+05,3.611e+02,2.628e+04,5.013e+05
76.4,5.330e+05,4.134e+02,2.525e+04,5.586e+05
77.9,7.588e+05,5.760e+02,2.705e+04,7.865e+05
79.4,8.230e+05,7.597e+02,2.614e+04,8.499e+05
81.0,7.518e+05,8.200e+02,2.322e+04,7.759e+05
82.5,6.342e+05,8.077e+02,1.979e+04,6.548e+05
84.0,6.414e+05,9.442e+02,1.782e+04,6.601e+05
85.5,6.973e+05,1.281e+03,1.726e+04,7.158e+05
87.1,7.010e+05,1.495e+03,1.677e+04,7.193e+05
